,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain Inches (last 3 hours),Snow Inches (last 3 hours),Date
0,Rikitea,-23.12,-134.97,76.96,76,74,20.18,PF,broken clouds,0.0,0.0,2020-03-04 22:00:26
1,Port Alfred,-33.59,26.89,71.01,82,0,5.99,ZA,clear sky,0.0,0.0,2020-03-04 22:00:26
2,Cabo San Lucas,22.89,-109.91,73.4,43,40,11.41,MX,scattered clouds,0.0,0.0,2020-03-04 22:00:09
3,Thompson,55.74,-97.86,23.0,57,75,4.7,CA,broken clouds,0.0,0.0,2020-03-04 22:00:27
4,Saint Anthony,45.02,-93.22,42.01,44,40,9.17,US,scattered clouds,0.0,0.0,2020-03-04 22:00:27
5,Kapaa,22.08,-159.32,78.8,74,20,10.29,US,few clouds,0.0,0.0,2020-03-04 22:00:27
6,Atuona,-9.8,-139.03,80.85,74,27,12.66,PF,scattered clouds,0.0,0.0,2020-03-04 21:54:40
7,Provideniya,64.38,-173.3,8.6,65,0,4.47,RU,clear sky,0.0,0.0,2020-03-04 22:00:28
8,Castro,-24.79,-50.01,70.45,63,0,0.51,BR,clear sky,0.0,0.0,2020-03-04 21:56:17
9,Ambilobe,-13.2,49.05,75.83,92,68,3.76,MG,light rain,2.13,0.0,2020-03-04 22:00:28
10,Chapais,49.78,-74.85,24.8,68,90,14.99,CA,overcast clouds,0.0,0.0,2020-03-04 22:00:28
11,Putyatino,54.16,41.12,32.38,94,100,5.17,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:29
12,Maniitsoq,65.42,-52.9,14.0,40,20,3.36,GL,few clouds,0.0,0.0,2020-03-04 22:00:29
13,Mataura,-46.19,168.86,57.0,68,0,3.0,NZ,clear sky,0.0,0.0,2020-03-04 21:54:44
14,Busselton,-33.65,115.33,62.01,56,94,9.64,AU,overcast clouds,0.0,0.0,2020-03-04 21:54:42
15,Peniche,39.36,-9.38,60.01,87,20,9.17,PT,few clouds,0.0,0.0,2020-03-04 22:00:29
16,Birao,10.28,22.79,80.91,12,0,8.66,CF,clear sky,0.0,0.0,2020-03-04 22:00:30
17,Victoria,22.29,114.16,63.0,93,40,12.75,HK,light rain,0.0,0.0,2020-03-04 21:53:22
18,Ushuaia,-54.8,-68.3,57.2,71,40,4.5,AR,scattered clouds,0.0,0.0,2020-03-04 21:56:49
19,Asau,46.43,26.4,52.0,81,72,13.87,RO,broken clouds,0.0,0.0,2020-03-04 22:00:30
20,Tahta,26.77,31.5,67.55,13,0,8.77,EG,clear sky,0.0,0.0,2020-03-04 22:00:30
21,Clarence Town,-32.58,151.78,73.99,83,90,9.17,AU,light rain,0.0,0.0,2020-03-04 22:00:31
22,Ngunguru,-35.62,174.5,66.0,97,100,10.0,NZ,light rain,2.06,0.0,2020-03-04 22:00:31
23,Henties Bay,-22.12,14.28,68.0,90,41,5.01,NA,scattered clouds,0.0,0.0,2020-03-04 22:00:31
24,Bathsheba,13.22,-59.52,82.4,61,40,20.8,BB,scattered clouds,0.0,0.0,2020-03-04 22:00:07
25,Kresek,-6.13,106.38,78.01,88,40,9.17,ID,light rain,0.0,0.0,2020-03-04 22:00:32
26,Forbes,-33.38,148.02,68.0,90,100,1.99,AU,moderate rain,4.44,0.0,2020-03-04 22:00:32
27,Shimoda,34.67,138.95,52.0,81,100,1.01,JP,overcast clouds,0.0,0.0,2020-03-04 22:00:32
28,Namibe,-15.2,12.15,73.74,84,0,15.79,AO,clear sky,0.0,0.0,2020-03-04 22:00:32
29,Esil,51.96,66.4,15.53,88,100,8.34,KZ,overcast clouds,0.0,0.0,2020-03-04 22:00:33
30,Xining,36.62,101.77,25.12,41,1,5.53,CN,clear sky,0.0,0.0,2020-03-04 22:00:33
31,Sinnamary,5.38,-52.95,79.56,74,35,13.47,GF,scattered clouds,0.0,0.0,2020-03-04 22:00:33
32,Akhtubinsk,48.28,46.17,46.92,82,100,7.05,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:33
33,Bethel,41.37,-73.41,55.99,39,20,17.22,US,few clouds,0.0,0.0,2020-03-04 21:58:23
34,Berdigestyakh,62.1,126.7,-5.13,97,100,4.36,RU,overcast clouds,0.0,0.0,2020-03-04 22:00:34
35,New Norfolk,-42.78,147.06,62.6,93,75,10.29,AU,moderate rain,0.0,0.0,2020-03-04 21:56:49
36,Narsaq,60.92,-46.05,8.6,46,0,3.36,GL,clear sky,0.0,0.0,2020-03-04 22:00:34
37,Ponta Delgada,37.73,-25.67,57.2,62,20,5.82,PT,few clouds,0.0,0.0,2020-03-04 22:00:34
38,Manaure,11.78,-72.44,93.2,34,1,17.22,CO,clear sky,0.0,0.0,2020-03-04 22:00:35
39,Vaini,-21.2,-175.2,82.4,74,40,8.05,TO,scattered clouds,0.0,0.0,2020-03-04 22:00:35
