City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2020-02-23 02:09:39,73.51,80.55,18.16,93,100,22.24
1,Guerrero Negro,MX,2020-02-23 02:09:48,27.98,-114.06,59.5,75,82,18.92
2,Tasiilaq,GL,2020-02-23 02:11:40,65.61,-37.64,14.0,78,0,1.12
3,Mar Del Plata,AR,2020-02-23 02:08:47,-38.0,-57.56,60.01,87,0,2.24
4,Cidreira,BR,2020-02-23 02:10:21,-30.18,-50.21,70.12,64,3,6.67
5,Wagar,SD,2020-02-23 02:11:41,16.15,36.2,58.96,85,0,8.95
6,Atuona,PF,2020-02-23 02:11:41,-9.8,-139.03,81.77,77,0,12.37
7,Provideniya,RU,2020-02-23 02:11:10,64.38,-173.3,-9.22,82,0,2.42
8,Ushuaia,AR,2020-02-23 02:09:56,-54.8,-68.3,53.6,81,90,40.26
9,Boundiali,CI,2020-02-23 02:11:42,9.52,-6.49,71.55,16,0,0.38
10,Akdepe,TM,2020-02-23 02:11:42,42.06,59.38,39.2,86,75,4.7
11,Anadyr,RU,2020-02-23 02:11:42,64.75,177.48,-14.01,68,40,4.47
12,Ternate,ID,2020-02-23 02:11:42,0.8,127.4,87.28,64,100,4.14
13,Aasiaat,GL,2020-02-23 02:11:43,68.71,-52.87,-8.45,96,87,9.57
14,Yellowknife,CA,2020-02-23 02:11:43,62.46,-114.35,1.4,64,75,6.93
15,Wick,GB,2020-02-23 02:11:43,58.43,-3.08,41.0,73,0,24.16
16,Kivsharivka,UA,2020-02-23 02:11:43,49.62,37.7,31.86,94,100,8.61
17,Rikitea,PF,2020-02-23 02:11:44,-23.12,-134.97,79.86,66,12,6.15
18,Gualaceo,EC,2020-02-23 02:11:44,-2.9,-78.78,60.8,87,100,2.24
19,Englewood,US,2020-02-23 02:11:12,39.65,-104.99,46.4,36,75,11.41
20,Poum,NC,2020-02-23 02:11:44,-20.23,164.02,80.56,78,31,15.64
21,Avarua,CK,2020-02-23 02:11:44,-21.21,-159.78,84.2,83,98,6.93
22,Hambantota,LK,2020-02-23 02:11:45,6.12,81.12,75.2,100,75,9.17
23,Seara,PT,2020-02-23 02:11:45,41.18,-7.8,52.0,8,0,4.76
24,Jamestown,US,2020-02-23 02:09:24,42.1,-79.24,37.99,47,1,8.05
25,Egvekinot,RU,2020-02-23 02:11:45,66.32,-179.17,-29.78,99,25,2.37
26,Tarboro,US,2020-02-23 02:09:54,35.9,-77.54,37.4,77,1,5.39
27,Mataura,NZ,2020-02-23 02:11:46,-46.19,168.86,60.01,78,75,18.99
28,Nikolskoye,RU,2020-02-23 02:08:26,59.7,30.79,37.99,86,90,13.42
29,High Level,CA,2020-02-23 02:11:46,58.52,-117.14,35.6,47,90,8.05
30,Fomboni,KM,2020-02-23 02:10:32,-12.28,43.74,84.83,77,100,13.31
31,Vanimo,PG,2020-02-23 02:11:47,-2.67,141.3,82.38,80,32,13.24
32,Bredasdorp,ZA,2020-02-23 02:08:13,-34.53,20.04,62.6,67,21,6.93
33,Sao Joao Da Barra,BR,2020-02-23 02:11:47,-21.64,-41.05,73.72,91,100,3.42
34,Puerto Ayora,EC,2020-02-23 02:10:01,-0.74,-90.35,78.01,100,67,4.61
35,Dunedin,NZ,2020-02-23 02:11:47,-45.87,170.5,64.99,52,95,10.0
36,Yar-Sale,RU,2020-02-23 02:09:10,66.83,70.83,21.52,92,73,16.93
37,Torbay,CA,2020-02-23 02:09:22,47.67,-52.73,28.0,79,90,16.11
38,Georgetown,MY,2020-02-23 02:11:49,5.41,100.34,82.4,69,20,6.93
39,New Norfolk,AU,2020-02-23 02:09:10,-42.78,147.06,79.0,40,0,5.82
40,Hasaki,JP,2020-02-23 02:11:49,35.73,140.83,57.0,35,20,9.17
41,Ustka,PL,2020-02-23 02:11:49,54.58,16.86,40.06,70,69,26.08
42,Chanika,TZ,2020-02-23 02:11:49,-5.42,38.02,72.48,90,100,0.94
43,San Patricio,MX,2020-02-23 02:11:50,19.22,-104.7,78.8,83,5,5.82
44,Longyearbyen,SJ,2020-02-23 02:11:50,78.22,15.64,-2.2,70,20,13.87
45,Ayan,RU,2020-02-23 02:11:50,56.45,138.17,10.49,75,0,2.93
46,Fortuna,US,2020-02-23 02:11:50,40.6,-124.16,50.0,76,20,4.7
47,Komsomolskiy,UZ,2020-02-23 02:11:51,40.43,71.72,42.8,86,63,6.93
48,Chokurdakh,RU,2020-02-23 02:08:50,70.63,147.92,-12.05,96,100,1.39
49,Vardo,NO,2020-02-23 02:11:51,70.37,31.11,32.88,80,67,17.11
50,Mahebourg,MU,2020-02-23 02:11:52,-20.41,57.7,75.2,100,40,2.24
51,Hobart,AU,2020-02-23 02:10:51,-42.88,147.33,79.0,40,3,5.82
52,Vao,NC,2020-02-23 02:11:52,-22.67,167.48,79.02,76,8,14.29
53,Kruisfontein,ZA,2020-02-23 02:09:35,-34.0,24.73,55.51,83,28,1.88
54,Saint Anthony,US,2020-02-23 02:11:52,45.02,-93.22,39.2,86,1,5.82
55,Port Alfred,ZA,2020-02-23 02:09:25,-33.59,26.89,64.0,82,16,3.0
56,Cherskiy,RU,2020-02-23 02:08:39,68.75,161.3,-17.18,94,94,5.64
57,Masallatah,LY,2020-02-23 02:09:06,32.62,14.0,49.32,81,46,6.96
58,Ust-Nera,RU,2020-02-23 02:11:54,64.57,143.2,-19.25,95,100,3.6
59,Nome,US,2020-02-23 02:10:19,64.5,-165.41,-4.0,70,40,4.7
60,Naze,JP,2020-02-23 02:08:43,28.37,129.48,66.2,55,75,14.99
61,Petropavlovsk-Kamchatskiy,RU,2020-02-23 02:11:55,53.05,158.65,14.0,47,0,2.24
62,Namatanai,PG,2020-02-23 02:11:55,-3.67,152.43,86.38,70,100,14.88
63,Meulaboh,ID,2020-02-23 02:11:23,4.14,96.13,81.5,74,17,7.11
64,Westport,US,2020-02-23 02:11:55,41.14,-73.36,43.0,32,1,3.36
65,Cabo San Lucas,MX,2020-02-23 02:09:25,22.89,-109.91,77.0,44,75,9.17
66,Road Town,VG,2020-02-23 02:11:16,18.42,-64.62,78.8,73,20,3.36
67,Kirkwall,GB,2020-02-23 02:11:56,58.98,-2.96,41.0,80,87,35.57
68,Hermanus,ZA,2020-02-23 02:08:23,-34.42,19.23,63.0,87,0,4.0
69,Pyu,MM,2020-02-23 02:11:56,18.48,96.43,89.6,26,17,1.74
70,Punta Arenas,CL,2020-02-23 02:11:06,-53.15,-70.92,51.8,71,20,25.28
71,Barranca,PE,2020-02-23 02:09:42,-10.75,-77.77,73.04,86,97,7.4
72,Pimentel,PE,2020-02-23 02:11:57,-6.84,-79.93,66.2,29,75,11.41
